fecha,days,ccaa,casos
2020-03-30,23,Navarra,113
2020-03-30,23,País Vasco,325
2020-03-30,23,La Rioja,85
2020-03-31,24,Andalucía,308
2020-03-31,24,Aragón,169
2020-03-31,24,Asturias,63
2020-03-31,24,Baleares,46
2020-03-31,24,Canarias,62
2020-03-31,24,Cantabria,54
2020-03-31,24,Castilla-La Mancha,774
2020-03-31,24,Castilla y León,585
2020-03-31,24,Cataluña,1458
2020-03-31,24,Valencia,395
2020-03-31,24,Extremadura,152
2020-03-31,24,Galicia,103
2020-03-31,24,Madrid,3865
2020-03-31,24,Murcia,37
2020-03-31,24,Navarra,130
2020-03-31,24,País Vasco,369
2020-03-31,24,La Rioja,90
2020-04-01,25,Andalucía,343
2020-04-01,25,Aragón,200
2020-04-01,25,Asturias,69
2020-04-01,25,Baleares,58
2020-04-01,25,Canarias,68
2020-04-01,25,Cantabria,60
2020-04-01,25,Castilla-La Mancha,854
2020-04-01,25,Castilla y León,641
2020-04-01,25,Cataluña,1629
2020-04-01,25,Valencia,443
2020-04-01,25,Extremadura,181
2020-04-01,25,Galicia,120
2020-04-01,25,Madrid,4175
2020-04-01,25,Murcia,42
2020-04-01,25,Navarra,141
2020-04-01,25,País Vasco,412
2020-04-01,25,La Rioja,101
2020-04-02,26,Andalucía,376
2020-04-02,26,Aragón,224
2020-04-02,26,Asturias,70
2020-04-02,26,Baleares,69
2020-04-02,26,Canarias,73
2020-04-02,26,Cantabria,64
2020-04-02,26,Castilla-La Mancha,916
2020-04-02,26,Castilla y León,723
2020-04-02,26,Cataluña,1784
2020-04-02,26,Valencia,511
2020-04-02,26,Extremadura,200
2020-04-02,26,Galicia,138
2020-04-02,26,Madrid,4483
2020-04-02,26,Murcia,46
2020-04-02,26,Navarra,151
2020-04-02,26,País Vasco,444
2020-04-02,26,La Rioja,109
2020-04-03,27,Andalucía,426
2020-04-03,27,Aragón,251
2020-04-03,27,Asturias,76
2020-04-03,27,Baleares,71
2020-04-03,27,Canarias,78
2020-04-03,27,Cantabria,68
2020-04-03,27,Castilla-La Mancha,989
2020-04-03,27,Castilla y León,786
2020-04-03,27,Cataluña,1928
2020-04-03,27,Valencia,571
2020-04-03,27,Extremadura,208
2020-04-03,27,Galicia,159
2020-04-03,27,Madrid,4723
2020-04-03,27,Murcia,51
2020-04-03,27,Navarra,171
2020-04-03,27,País Vasco,477
2020-04-03,27,La Rioja,128
2020-04-04,28,Andalucía,470
2020-04-04,28,Aragón,270
2020-04-04,28,Asturias,80
2020-04-04,28,Baleares,75
2020-04-04,28,Canarias,80
2020-04-04,28,Cantabria,68
2020-04-04,28,Castilla-La Mancha,1055
2020-04-04,28,Castilla y León,847
2020-04-04,28,Cataluña,2053
2020-04-04,28,Valencia,613
2020-04-04,28,Extremadura,218
2020-04-04,28,Galicia,174
2020-04-04,28,Madrid,4941
2020-04-04,28,Murcia,59
2020-04-04,28,Navarra,178
2020-04-04,28,País Vasco,515
2020-04-04,28,La Rioja,134
2020-04-05,29,Andalucía,491
2020-04-05,29,Aragón,284
2020-04-05,29,Asturias,86
2020-04-05,29,Baleares,81
2020-04-05,29,Canarias,85
2020-04-05,29,Cantabria,77
2020-04-05,29,Castilla-La Mancha,1132
2020-04-05,29,Castilla y León,919
2020-04-05,29,Cataluña,2167
2020-04-05,29,Valencia,637
2020-04-05,29,Extremadura,228
2020-04-05,29,Galicia,190
2020-04-05,29,Madrid,5136
2020-04-05,29,Murcia,68
2020-04-05,29,Navarra,187
2020-04-05,29,País Vasco,548
2020-04-05,29,La Rioja,141
2020-04-06,30,Andalucía,528
2020-04-06,30,Aragón,312
2020-04-06,30,Asturias,96
2020-04-06,30,Baleares,84
2020-04-06,30,Canarias,89
2020-04-06,30,Cantabria,85
2020-04-06,30,Castilla-La Mancha,1177
2020-04-06,30,Castilla y León,982
2020-04-06,30,Cataluña,2329
2020-04-06,30,Valencia,672
2020-04-06,30,Extremadura,258
2020-04-06,30,Galicia,204
2020-04-06,30,Madrid,5371
2020-04-06,30,Murcia,78
2020-04-06,30,Navarra,202
2020-04-06,30,País Vasco,586
2020-04-06,30,La Rioja,160
2020-04-07,31,Andalucía,605
2020-04-07,31,Aragón,349
2020-04-07,31,Asturias,102
2020-04-07,31,Baleares,89
2020-04-07,31,Canarias,91
2020-04-07,31,Cantabria,92
2020-04-07,31,Castilla-La Mancha,1255
2020-04-07,31,Castilla y León,1028
2020-04-07,31,Cataluña,2462
2020-04-07,31,Valencia,724
2020-04-07,31,Extremadura,271
2020-04-07,31,Galicia,213
2020-04-07,31,Madrid,5586
2020-04-07,31,Murcia,85
2020-04-07,31,Navarra,206
2020-04-07,31,País Vasco,635
2020-04-07,31,La Rioja,177
2020-04-08,32,Andalucía,652
2020-04-08,32,Aragón,385
2020-04-08,32,Asturias,110
2020-04-08,32,Baleares,89
2020-04-08,32,Canarias,92
2020-04-08,32,Cantabria,98
2020-04-08,32,Castilla-La Mancha,1322
2020-04-08,32,Castilla y León,1082
2020-04-08,32,Cataluña,2667
2020-04-08,32,Valencia,767
2020-04-08,32,Extremadura,283
2020-04-08,32,Galicia,231
2020-04-08,32,Madrid,5800
2020-04-08,32,Murcia,88
2020-04-08,32,Navarra,214
2020-04-08,32,País Vasco,689
2020-04-08,32,La Rioja,182
2020-04-09,33,Andalucía,691
2020-04-09,33,Aragón,409
2020-04-09,33,Asturias,121
2020-04-09,33,Baleares,97
2020-04-09,33,Canarias,94
2020-04-09,33,Cantabria,102
2020-04-09,33,Castilla-La Mancha,1431
2020-04-09,33,Castilla y León,1129
2020-04-09,33,Cataluña,2787
2020-04-09,33,Valencia,796
2020-04-09,33,Extremadura,288
2020-04-09,33,Galicia,243
2020-04-09,33,Madrid,5972
2020-04-09,33,Murcia,90
2020-04-09,33,Navarra,218
2020-04-09,33,País Vasco,729
2020-04-09,33,La Rioja,196
2020-04-10,34,Andalucía,737
2020-04-10,34,Aragón,425
2020-04-10,34,Asturias,128
2020-04-10,34,Baleares,102
2020-04-10,34,Canarias,95
2020-04-10,34,Cantabria,107
2020-04-10,34,Castilla-La Mancha,1483
2020-04-10,34,Castilla y León,1180
2020-04-10,34,Cataluña,2877
2020-04-10,34,Valencia,818
2020-04-10,34,Extremadura,303
2020-04-10,34,Galicia,261
2020-04-10,34,Madrid,6084
2020-04-10,34,Murcia,94
2020-04-10,34,Navarra,227
2020-04-10,34,País Vasco,765
2020-04-10,34,La Rioja,207
2020-04-11,35,Andalucía,799
2020-04-11,35,Aragón,450
2020-04-11,35,Asturias,140
2020-04-11,35,Baleares,112
2020-04-11,35,Canarias,95
2020-04-11,35,Cantabria,110
2020-04-11,35,Castilla-La Mancha,1543
2020-04-11,35,Castilla y León,1221
2020-04-11,35,Cataluña,2975
2020-04-11,35,Valencia,838
2020-04-11,35,Extremadura,312
2020-04-11,35,Galicia,274
2020-04-11,35,Madrid,6278
2020-04-11,35,Murcia,97
2020-04-11,35,Navarra,232
2020-04-11,35,País Vasco,804
2020-04-11,35,La Rioja,219
2020-04-12,36,Andalucía,815
2020-04-12,36,Aragón,464
2020-04-12,36,Asturias,149
2020-04-12,36,Baleares,117
2020-04-12,36,Canarias,96
2020-04-12,36,Cantabria,117
2020-04-12,36,Castilla-La Mancha,1626
2020-04-12,36,Castilla y León,1263
2020-04-12,36,Cataluña,3105
2020-04-12,36,Valencia,876
2020-04-12,36,Extremadura,321
2020-04-12,36,Galicia,284
2020-04-12,36,Madrid,6423
2020-04-12,36,Murcia,101
2020-04-12,36,Navarra,239
2020-04-12,36,País Vasco,831
2020-04-12,36,La Rioja,223
2020-04-13,37,Andalucía,836
2020-04-13,37,Aragón,492
2020-04-13,37,Asturias,156
2020-04-13,37,Baleares,118
2020-04-13,37,Canarias,102
2020-04-13,37,Cantabria,120
2020-04-13,37,Castilla-La Mancha,1714
2020-04-13,37,Castilla y León,1299
